tid,år,månad,pris
2013M04,2013,04,73.1
2013M05,2013,05,72.9
2013M06,2013,06,72.1
2013M07,2013,07,72.1
2013M08,2013,08,71.1
2013M09,2013,09,71.7
2013M10,2013,10,72
2013M11,2013,11,71.3
2013M12,2013,12,70.7
2014M01,2014,01,69.3
2014M02,2014,02,67.1
2014M03,2014,03,65.8
2014M04,2014,04,61
2014M05,2014,05,60.9
2014M06,2014,06,65
2014M07,2014,07,61.9
2014M08,2014,08,63.6
2014M09,2014,09,63.5
2014M10,2014,10,64.9
2014M11,2014,11,62
2014M12,2014,12,63.3
2015M01,2015,01,61.5
2015M02,2015,02,60.7
2015M03,2015,03,57.7
2015M04,2015,04,59.7
2015M05,2015,05,59.7
2015M06,2015,06,55.9
2015M07,2015,07,50.9
2015M08,2015,08,51.7
2015M09,2015,09,58.1
2015M10,2015,10,53.3
2015M11,2015,11,57.3
2015M12,2015,12,55.1
2016M01,2016,01,53.3
2016M02,2016,02,60.2
2016M03,2016,03,59.4
2016M04,2016,04,57.5
2016M05,2016,05,56.3
2016M06,2016,06,53.3
2016M07,2016,07,55.7
2016M08,2016,08,51.9
2016M09,2016,09,50.3
2016M10,2016,10,55.5
2016M11,2016,11,61.2
2016M12,2016,12,61.1
2017M01,2017,01,60.2
2017M02,2017,02,60
2017M03,2017,03,60
2017M04,2017,04,57.7
2017M05,2017,05,59.2
2017M06,2017,06,59.6
2017M07,2017,07,60.4
2017M08,2017,08,60.8
2017M09,2017,09,63.1
2017M10,2017,10,63
2017M11,2017,11,61.6
2017M12,2017,12,64.8
2018M01,2018,01,63.4
2018M02,2018,02,64.1
2018M03,2018,03,67.8
2018M04,2018,04,66.3
2018M05,2018,05,66.9
2018M06,2018,06,69.7
2018M07,2018,07,72.5
2018M08,2018,08,70.8
2018M09,2018,09,77
2018M10,2018,10,75.7
2018M11,2018,11,79.7
2018M12,2018,12,85.1
2019M01,2019,01,87.6
2019M02,2019,02,83.1
2019M03,2019,03,80.5
2019M04,2019,04,80.3
2019M05,2019,05,79.1
2019M06,2019,06,73.4
2019M07,2019,07,77.8
2019M08,2019,08,79.1
2019M09,2019,09,78.1
2019M10,2019,10,79
2019M11,2019,11,81.1
2019M12,2019,12,77.9
2020M01,2020,01,72.2
2020M02,2020,02,68.2
2020M03,2020,03,64.3
2020M04,2020,04,50.5
2020M05,2020,05,53.6
2020M06,2020,06,48.2
2020M07,2020,07,43.7
2020M08,2020,08,59.7
2020M09,2020,09,55.6
2020M10,2020,10,54.2
2020M11,2020,11,52.9
2020M12,2020,12,49.8
2021M01,2021,01,59.7
2021M02,2021,02,63.5
2021M03,2021,03,63.2
2021M04,2021,04,58.5
2021M05,2021,05,69.5
2021M06,2021,06,68.2
2021M07,2021,07,78
2021M08,2021,08,81.8
2021M09,2021,09,81.3
2021M10,2021,10,66
2021M11,2021,11,80.5
2021M12,2021,12,92.2
2022M01,2022,01,77.8
2022M02,2022,02,70.6
2022M03,2022,03,69.9
2022M04,2022,04,88.6
2022M05,2022,05,93.9
2022M06,2022,06,99.9
2022M07,2022,07,92.5
2022M08,2022,08,122.4
2022M09,2022,09,167.4
2022M10,2022,10,115.6
2022M11,2022,11,153
2022M12,2022,12,223.8
2023M01,2023,01,156.8
2023M02,2023,02,114.3
2023M03,2023,03,116.2
2023M04,2023,04,118.4
2023M05,2023,05,69.9
2023M06,2023,06,91
2023M07,2023,07,77.7
2023M08,2023,08,66.6
2023M09,2023,09,55.9
2023M10,2023,10,61.8
2023M11,2023,11,96.9
2023M12,2023,12,106.8
2024M01,2024,01,95.4
2024M02,2024,02,77.6
2024M03,2024,03,79.4
2024M04,2024,04,77.3
2024M05,2024,05,52.1
2024M06,2024,06,57.8
2024M07,2024,07,56.9
2024M08,2024,08,46.2
2024M09,2024,09,48.3
2024M10,2024,10,56.1
2024M11,2024,11,65
2024M12,2024,12,57.7
2025M01,2025,01,61.1
2025M02,2025,02,50.6
2025M03,2025,03,49
2025M04,2025,04,53
2025M05,2025,05,53.5
2025M06,2025,06,42.1
2025M07,2025,07,47.3
2025M08,2025,08,60
2025M09,2025,09,56.4
